0,2.2238
0.001,2.2942
0.002,2.424
0.003,2.5177
0.004,2.5786
0.005,2.622
0.006,2.654
0.007,2.6803
0.008,2.7034
0.009,2.724
0.01,2.7426
0.011,2.7596
0.012,2.7752
0.013,2.7898
0.014,2.8034
0.015,2.8161
0.016,2.8282
0.017,2.8396
0.018,2.8505
0.019,2.8607
0.02,2.8706
0.021,2.88
0.022,2.889
0.023,2.8976
0.024,2.9059
0.025,2.9139
0.026,2.9216
0.027,2.9289
0.028,2.9362
0.029,2.9431
0.03,2.9498
0.031,2.9562
0.032,2.9626
0.033,2.9688
0.034,2.9748
0.035,2.9806
0.036,2.9863
0.037,2.9919
0.038,2.9973
0.039,3.0026
0.04,3.0077
0.041,3.0128
0.042,3.0177
0.043,3.0226
0.044,3.0274
0.045,3.032
0.046,3.0366
0.047,3.041
0.048,3.0454
0.049,3.0496
0.05,3.0539
0.051,3.058
0.052,3.0621
0.053,3.0661
0.054,3.07
0.055,3.0739
0.056,3.0777
0.057,3.0815
0.058,3.085
0.059,3.0887
0.06,3.0922
0.061,3.0957
0.062,3.0991
0.063,3.1025
0.064,3.1059
0.065,3.1091
0.066,3.1124
0.067,3.1155
0.068,3.1187
0.069,3.1217
0.07,3.1248
0.071,3.1278
0.072,3.1307
0.073,3.1337
0.074,3.1365
0.075,3.1394
0.076,3.1421
0.077,3.145
0.078,3.1477
0.079,3.1503
0.08,3.153
0.081,3.1556
0.082,3.1582
0.083,3.1607
0.084,3.1632
0.085,3.1657
0.086,3.1682
0.087,3.1705
0.088,3.1727
0.089,3.1751
0.09,3.1774
0.091,3.1797
0.092,3.1818
0.093,3.184
0.094,3.1861
0.095,3.1882
0.096,3.1901
0.097,3.192
0.098,3.194
0.099,3.1957
0.1,3.1974
0.101,3.1991
0.102,3.2005
0.103,3.2019
0.104,3.2033
0.105,3.2044
0.106,3.2054
0.107,3.2064
0.108,3.2072
0.109,3.2079
0.11,3.2086
0.111,3.2092
0.112,3.2097
0.113,3.2101
